polymer,length
PS,512
PS,449
PS,134
PS,32
PS,120
PS,140
PS,215
PS,233
PS,208
PS,96
PS,500
PS,171
PS,136
PS,206
PS,348
PS,117
PS,172
PS,134
PS,132
PS,404
PS,143
PS,168
PS,383
PS,272
PS,317
PS,315
PS,543
PS,226
PS,241
PS,340
PS,302
PS,403
PS,280
PS,169
PS,432
PS,400
PS,182
PS,138
PS,288
PS,294
PS,370
PS,386
PS,165
PS,436
PS,625
PS,183
PS,255
PS,533
PS,267
PS,289
PS,483
PS,184
PS,228
PS,206
PS,426
PS,588
PS,59
PS,260
PS,270
PS,98
PS,179
PS,217
PS,117
PS,530
PS,80
PS,180
PS,40
PS,120
PS,860
PS,50
PS,160
PS,130
PS,100
PS,510
PS,40
PS,230
PS,80
PS,690
PS,50
PS,110
PS,70
PS,200
PS,230
PS,130
PS,110
PS,90
PS,70
PS,170
PS,90
PS,160
PS,140
PS,120
PS,70
PS,220
PS,120
PS,240
PS,470
PS,110
PS,80
PS,140
PS,100
PS,50
PS,50
PS,70
PS,100
PS,110
PS,90
PS,120
PS,80
PS,620
PS,60
PS,350
PS,80
PS,510
PS,120
PS,140
PS,140
PS,150
PS,80
PS,110
PS,110
PS,100
PS,120
PS,30
PS,150
PS,70
PS,40
PS,140
PS,600
PS,550
PS,520
PS,900
PS,160
PS,70
PS,220
PS,220
PS,130
PS,370
PS,60
PS,210
PS,80
PS,50
PS,110
PS,60
PS,80
PS,220
PS,530
PS,130
PS,100
PS,110
PS,110
PS,460
PS,80
PS,300
PS,160
PS,70
PS,200
PS,160
PS,40
PS,250
PS,200
PS,310
PS,60
PS,150
PS,1960
PS,90
PS,60
PS,60
PS,270
PS,250
PS,380
PS,40
PS,130
PS,220
PS,170
PS,110
PS,360
PS,120
PS,160
PS,220
PS,160
PS,140
PS,90
PS,170
PS,270
PS,90
PS,90
PS,180
PS,160
PS,90
PS,280
PS,120
PS,220
PS,40
PS,360
PS,70
PS,100
PS,210
PS,60
PS,170
PS,140
PS,480
PS,170
PS,140
PS,210
PS,140
PS,160
PS,230
PS,220
PS,80
PS,210
PS,140
PS,150
PS,100
PS,50
