,Time,Corral ID,Added Concentration,Depth,Size fraction (um),blue,pink,unknown,unknown_corrected,yellow,volume sampled_L,blue_L,pink_L,unknown_L,yellow_L,Total_L
1,24 h,C,414,1 m,106,3,14,5,1.08,8,4,0.75,3.5,0.27,2,6.52
2,24 h,C,414,1 m,212,1,5,3,0.648,2,4,0.25,1.25,0.162,0.5,2.162
3,24 h,C,414,1 m,500,NA,7,4,0.864,5,4,0,1.75,0.216,1.25,3.216
4,24 h,C,414,1 m,53,3,33,11,2.376,1,4,0.75,8.25,0.594,0.25,9.844
5,24 h,C,414,10 cm,106,NA,33,4,0.864,12,4,0,8.25,0.216,3,11.466
6,24 h,C,414,10 cm,212,1,5,9,1.944,4,4,0.25,1.25,0.486,1,2.986
7,24 h,C,414,10 cm,500,NA,1,5,1.08,1,4,0,0.25,0.27,0.25,0.77
8,24 h,C,414,10 cm,53,1,36,4,0.864,6,4,0.25,9,0.216,1.5,10.966
9,24 h,C,414,2 m,106,1,20,3,0.648,3,4,0.25,5,0.162,0.75,6.162
10,24 h,C,414,2 m,212,2,4,1,0.216,4,4,0.5,1,0.054,1,2.554
11,24 h,C,414,2 m,500,1,2,3,0.648,1,4,0.25,0.5,0.162,0.25,1.162
12,24 h,C,414,2 m,53,NA,33,0,0,3,4,0,8.25,0,0.75,9
13,24 h,D,29240,1 m,106,5,302,22,4.752,11,4,1.25,75.5,1.188,2.75,80.688
14,24 h,D,29240,1 m,212,1,54,4,0.864,2,4,0.25,13.5,0.216,0.5,14.466
15,24 h,D,29240,1 m,500,NA,200,18,3.888,16,4,0,50,0.972,4,54.972
16,24 h,D,29240,1 m,53,3,839,53,11.448,7,4,0.75,209.75,2.862,1.75,215.112
17,24 h,D,29240,10 cm,106,NA,323,21,4.536,225,4,0,80.75,1.134,56.25,138.134
18,24 h,D,29240,10 cm,212,2,38,4,0.864,17,4,0.5,9.5,0.216,4.25,14.466
19,24 h,D,29240,10 cm,500,NA,9,9,1.944,14,4,0,2.25,0.486,3.5,6.236
20,24 h,D,29240,10 cm,53,1,643,80,17.28,122,4,0.25,160.75,4.32,30.5,195.82
21,24 h,D,29240,2 m,106,1,183,21,4.536,13,4,0.25,45.75,1.134,3.25,50.384
22,24 h,D,29240,2 m,212,2,17,19,4.104,1,4,0.5,4.25,1.026,0.25,6.026
23,24 h,D,29240,2 m,500,NA,61,11,2.376,3,4,0,15.25,0.594,0.75,16.594
24,24 h,D,29240,2 m,53,1,918,18,3.888,3,4,0.25,229.5,0.972,0.75,231.472
25,24 h,F,6,1 m,106,12,92,36,7.776,22,4,3,23,1.944,5.5,33.444
26,24 h,F,6,1 m,212,2,12,3,0.648,9,4,0.5,3,0.162,2.25,5.912
27,24 h,F,6,1 m,500,2,13,29,6.264,11,4,0.5,3.25,1.566,2.75,8.066
28,24 h,F,6,1 m,53,3,82,28,6.048,5,4,0.75,20.5,1.512,1.25,24.012
29,24 h,F,6,10 cm,106,NA,78,23,4.968,11,4,0,19.5,1.242,2.75,23.492
30,24 h,F,6,10 cm,212,NA,12,6,1.296,2,4,0,3,0.324,0.5,3.824
31,24 h,F,6,10 cm,500,NA,6,2,0.432,NA,4,0,1.5,0.108,0,1.608
32,24 h,F,6,10 cm,53,NA,11,10,2.16,10,4,0,2.75,0.54,2.5,5.79
33,24 h,F,6,2 m,106,1,47,5,1.08,2,4,0.25,11.75,0.27,0.5,12.77
34,24 h,F,6,2 m,212,NA,13,1,0.216,1,4,0,3.25,0.054,0.25,3.554
35,24 h,F,6,2 m,500,1,11,2,0.432,3,4,0.25,2.75,0.108,0.75,3.858
36,24 h,F,6,2 m,53,1,25,8,1.728,5,4,0.25,6.25,0.432,1.25,8.182
37,24 h,H,0,1 m,106,NA,2,1,0.216,NA,4,0,0.5,0.054,0,0.554
38,24 h,H,0,1 m,212,NA,NA,1,0.216,2,4,0,0,0.054,0.5,0.554
39,24 h,H,0,1 m,53,NA,3,1,0.216,1,4,0,0.75,0.054,0.25,1.054
40,24 h,H,0,10 cm,106,1,3,0,0,1,4,0.25,0.75,0,0.25,1.25
41,24 h,H,0,10 cm,212,NA,NA,3,0.648,NA,4,0,0,0.162,0,0.162
42,24 h,H,0,10 cm,53,NA,NA,0,0,2,4,0,0,0,0.5,0.5
43,24 h,H,0,2 m,106,NA,4,0,0,NA,4,0,1,0,0,1
44,24 h,H,0,2 m,212,1,4,2,0.432,2,4,0.25,1,0.108,0.5,1.858
45,24 h,H,0,2 m,53,NA,3,1,0.216,1,4,0,0.75,0.054,0.25,1.054
46,72 h,C,414,1 m,106,1,1,5,1.08,23,4,0.25,0.25,0.27,5.75,6.52
47,72 h,C,414,1 m,212,NA,NA,2,0.432,6,4,0,0,0.108,1.5,1.608
48,72 h,C,414,1 m,500,1,NA,1,0.216,NA,4,0.25,0,0.054,0,0.304
49,72 h,C,414,1 m,53,NA,NA,6,1.296,20,4,0,0,0.324,5,5.324
50,72 h,C,414,10 cm,106,NA,3,1,0.216,52,4,0,0.75,0.054,13,13.804
51,72 h,C,414,10 cm,212,NA,NA,1,0.216,19,4,0,0,0.054,4.75,4.804
52,72 h,C,414,10 cm,500,NA,NA,1,0.216,5,4,0,0,0.054,1.25,1.304
53,72 h,C,414,10 cm,53,NA,1,5,1.08,6,4,0,0.25,0.27,1.5,2.02
54,72 h,C,414,2 m,106,5,13,14,3.024,4,4,1.25,3.25,0.756,1,6.256
55,72 h,C,414,2 m,212,1,9,3,0.648,1,4,0.25,2.25,0.162,0.25,2.912
56,72 h,C,414,2 m,500,1,1,3,0.648,1,4,0.25,0.25,0.162,0.25,0.912
57,72 h,C,414,2 m,53,NA,1,5,1.08,22,4,0,0.25,0.27,5.5,6.02
58,72 h,D,29240,1 m,106,NA,21,1,0.216,20,4,0,5.25,0.054,5,10.304
59,72 h,D,29240,1 m,212,NA,43,3,0.648,9,4,0,10.75,0.162,2.25,13.162
60,72 h,D,29240,1 m,53,NA,72,7,1.512,42,4,0,18,0.378,10.5,28.878
61,72 h,D,29240,10 cm,106,NA,210,7,1.512,393,4,0,52.5,0.378,98.25,151.128
62,72 h,D,29240,10 cm,212,1,13,2,0.432,28,4,0.25,3.25,0.108,7,10.608
63,72 h,D,29240,10 cm,53,NA,245,17,3.672,253,4,0,61.25,0.918,63.25,125.418
64,72 h,D,29240,2 m,106,259,106,9,1.944,14,4,64.75,26.5,0.486,3.5,95.236
65,72 h,D,29240,2 m,212,NA,14,0,0,4,4,0,3.5,0,1,4.5
66,72 h,D,29240,2 m,53,NA,10,3,0.648,7,4,0,2.5,0.162,1.75,4.412
67,72 h,F,6,1 m,106,11,13,6,1.296,4,4,2.75,3.25,0.324,1,7.324
68,72 h,F,6,1 m,212,2,2,0,0,NA,4,0.5,0.5,0,0,1
69,72 h,F,6,1 m,500,1,NA,1,0.216,NA,4,0.25,0,0.054,0,0.304
70,72 h,F,6,1 m,53,15,58,19,4.104,17,4,3.75,14.5,1.026,4.25,23.526
71,72 h,F,6,10 cm,106,NA,4,4,0.864,5,4,0,1,0.216,1.25,2.466
72,72 h,F,6,10 cm,212,1,1,2,0.432,NA,4,0.25,0.25,0.108,0,0.608
73,72 h,F,6,10 cm,500,NA,1,0,0,2,4,0,0.25,0,0.5,0.75
74,72 h,F,6,10 cm,53,NA,10,16,3.456,4,4,0,2.5,0.864,1,4.364
75,72 h,F,6,2 m,106,1,10,0,0,10,4,0.25,2.5,0,2.5,5.25
76,72 h,F,6,2 m,212,1,2,0,0,3,4,0.25,0.5,0,0.75,1.5
77,72 h,F,6,2 m,53,2,48,9,1.944,15,4,0.5,12,0.486,3.75,16.736
78,Week 11,C,414,1 m,106,NA,NA,1,0.216,5,4,0,0,0.054,1.25,1.304
79,Week 11,C,414,1 m,212,NA,NA,0,0,6,4,0,0,0,1.5,1.5
80,Week 11,C,414,1 m,53,NA,1,2,0.432,9,4,0,0.25,0.108,2.25,2.608
81,Week 11,C,414,10 cm,106,NA,NA,0,0,4,4,0,0,0,1,1
82,Week 11,C,414,10 cm,212,NA,1,1,0.216,4,4,0,0.25,0.054,1,1.304
83,Week 11,C,414,10 cm,53,NA,NA,2,0.432,4,4,0,0,0.108,1,1.108
84,Week 11,C,414,2 m,106,NA,1,1,0.216,4,4,0,0.25,0.054,1,1.304
85,Week 11,C,414,2 m,212,NA,NA,0,0,6,4,0,0,0,1.5,1.5
86,Week 11,C,414,2 m,53,1,2,4,0.864,13,4,0.25,0.5,0.216,3.25,4.216
87,Week 11,D,29240,1 m,106,NA,2,4,0.864,1195,4,0,0.5,0.216,298.75,299.466
88,Week 11,D,29240,1 m,212,NA,1,4,0.864,675,4,0,0.25,0.216,168.75,169.216
89,Week 11,D,29240,1 m,500,NA,10,4,0.864,27,4,0,2.5,0.216,6.75,9.466
90,Week 11,D,29240,1 m,53,NA,3,7,1.512,275,4,0,0.75,0.378,68.75,69.878
91,Week 11,D,29240,10 cm,106,4,1,8,1.728,1015,4,1,0.25,0.432,253.75,255.432
92,Week 11,D,29240,10 cm,212,4,1,5,1.08,744,4,1,0.25,0.27,186,187.52
93,Week 11,D,29240,10 cm,500,1,NA,14,3.024,29,4,0.25,0,0.756,7.25,8.256
94,Week 11,D,29240,10 cm,53,2,4,11,2.376,155,4,0.5,1,0.594,38.75,40.844
95,Week 11,D,29240,2 m,106,1,3,0,0,1402,4,0.25,0.75,0,350.5,351.5
96,Week 11,D,29240,2 m,212,NA,NA,1,0.216,1397,4,0,0,0.054,349.25,349.304
97,Week 11,D,29240,2 m,500,NA,3,2,0.432,238,4,0,0.75,0.108,59.5,60.358
98,Week 11,D,29240,2 m,53,NA,2,7,1.512,368,4,0,0.5,0.378,92,92.878
99,Week 11,F,6,1 m,106,1,NA,2,0.432,NA,4,0.25,0,0.108,0,0.358
100,Week 11,F,6,10 cm,106,NA,NA,0,0,1,4,0,0,0,0.25,0.25
101,Week 11,F,6,2 m,106,NA,NA,1,0.216,NA,4,0,0,0.054,0,0.054
102,Week 11,F,6,2 m,212,1,NA,0,0,NA,4,0.25,0,0,0,0.25
103,Week 11,F,6,2 m,500,NA,NA,3,0.648,NA,4,0,0,0.162,0,0.162
104,Week 11,H,0,1 m,106,NA,NA,0,0,2,4,0,0,0,0.5,0.5
105,Week 11,H,0,10 cm,106,NA,NA,1,0.216,1,3,0,0,0.054,0.333333333,0.387333333
106,Week 11,H,0,10 cm,212,1,NA,0,0,3,3,0.333333333,0,0,1,1.333333333
107,Week 11,H,0,10 cm,53,NA,NA,2,0.432,3,3,0,0,0.108,1,1.108
108,Week 11,H,0,2 m,212,NA,NA,1,0.216,1,4,0,0,0.054,0.25,0.304
109,Week 11,H,0,2 m,53,NA,NA,0,0,1,4,0,0,0,0.25,0.25
110,Week 2,C,414,1 m,106,NA,2,3,0.648,5,4,0,0.5,0.162,1.25,1.912
111,Week 2,C,414,1 m,212,NA,NA,5,1.08,2,4,0,0,0.27,0.5,0.77
112,Week 2,C,414,1 m,53,NA,3,7,1.512,3,4,0,0.75,0.378,0.75,1.878
113,Week 2,C,414,10 cm,106,2,1,2,0.432,2,4,0.5,0.25,0.108,0.5,1.358
114,Week 2,C,414,10 cm,212,NA,NA,13,2.808,3,4,0,0,0.702,0.75,1.452
115,Week 2,C,414,10 cm,500,NA,NA,2,0.432,NA,4,0,0,0.108,0,0.108
116,Week 2,C,414,10 cm,53,NA,NA,3,0.648,3,4,0,0,0.162,0.75,0.912
117,Week 2,C,414,2 m,106,1,1,1,0.216,33,4,0.25,0.25,0.054,8.25,8.804
118,Week 2,C,414,2 m,212,NA,NA,4,0.864,2,4,0,0,0.216,0.5,0.716
119,Week 2,C,414,2 m,53,NA,1,5,1.08,7,4,0,0.25,0.27,1.75,2.27
120,Week 2,D,29240,1 m,106,2,6,1,0.216,5,4,0.5,1.5,0.054,1.25,3.304
121,Week 2,D,29240,1 m,212,NA,NA,2,0.432,NA,4,0,0,0.108,0,0.108
122,Week 2,D,29240,1 m,53,1,102,1,0.216,40,4,0.25,25.5,0.054,10,35.804
123,Week 2,D,29240,10 cm,106,1,15,1,0.216,36,4,0.25,3.75,0.054,9,13.054
124,Week 2,D,29240,10 cm,212,NA,2,1,0.216,7,4,0,0.5,0.054,1.75,2.304
125,Week 2,D,29240,10 cm,53,2,39,5,1.08,63,4,0.5,9.75,0.27,15.75,26.27
126,Week 2,D,29240,2 m,106,NA,2,2,0.432,7,4,0,0.5,0.108,1.75,2.358
127,Week 2,D,29240,2 m,212,1,173,0,0,60,4,0.25,43.25,0,15,58.5
128,Week 2,D,29240,2 m,53,1,5,1,0.216,4,4,0.25,1.25,0.054,1,2.554
129,Week 2,F,6,1 m,106,2,9,3,0.648,10,4,0.5,2.25,0.162,2.5,5.412
130,Week 2,F,6,1 m,212,2,16,1,0.216,2,4,0.5,4,0.054,0.5,5.054
131,Week 2,F,6,1 m,53,3,49,9,1.944,15,4,0.75,12.25,0.486,3.75,17.236
132,Week 2,F,6,10 cm,106,4,2,2,0.432,1,4,1,0.5,0.108,0.25,1.858
133,Week 2,F,6,10 cm,212,2,1,1,0.216,NA,4,0.5,0.25,0.054,0,0.804
